iter	Logloss
0	0.5145604875
1	0.4181024784
2	0.3695878332
3	0.3481525571
4	0.3354812288
5	0.3272861133
6	0.3208712685
7	0.3165511331
8	0.3124338062
9	0.3100921589
10	0.3069733852
11	0.305225019
12	0.3035146945
13	0.3019899787
14	0.3007916448
15	0.2984991761
16	0.2972822421
17	0.295778829
18	0.2935510608
19	0.2926819337
20	0.292122978
21	0.2912046672
22	0.2897771228
23	0.2892530016
24	0.2886534499
25	0.2881955764
26	0.2877292073
27	0.2872580445
28	0.2867579611
29	0.2858456596
30	0.2850349227
31	0.284659266
32	0.2842386053
33	0.2836293335
34	0.2818809753
35	0.281342943
36	0.281058487
37	0.2806179053
38	0.2800934248
39	0.2794497636
40	0.2792817915
41	0.2789232686
42	0.2783394013
43	0.2780098022
44	0.2777949852
45	0.2775067368
46	0.2772497017
47	0.2761296198
48	0.2758370373
49	0.2754707335
50	0.2751689591
51	0.274943532
52	0.2744805625
53	0.2741721255
54	0.2738112561
55	0.273174365
56	0.2728001419
57	0.272592139
58	0.2716013033
59	0.2712727706
60	0.2707632124
61	0.2704823166
62	0.2700560482
63	0.269176734
64	0.2688904757
65	0.2687428123
66	0.2676815816
67	0.2674220303
68	0.2670177844
69	0.2667770118
70	0.2665450255
71	0.2661535364
72	0.2658960768
73	0.2656914388
74	0.2653782557
75	0.2650563902
76	0.2646482036
77	0.264412432
78	0.2641653429
79	0.2639117228
80	0.2635231351
81	0.2632636697
82	0.2630996799
83	0.262876752
84	0.2625898979
85	0.2622549608
86	0.2619911591
87	0.2614547308
88	0.2613515558
89	0.2611787766
90	0.2609411375
91	0.260514579
92	0.2603199182
93	0.2601410147
94	0.2600309432
95	0.2597523976
96	0.2594000995
97	0.2592068726
98	0.2589564847
99	0.2585738473
100	0.2582156608
101	0.2579390206
102	0.2576749305
103	0.2574253881
104	0.257103175
105	0.2569007342
106	0.2567103416
107	0.2565401431
108	0.2563489806
109	0.2561109929
110	0.2559485547
111	0.2557368683
112	0.2555449471
113	0.2553615187
114	0.2551399375
115	0.2549772115
116	0.2547707451
117	0.2544501397
118	0.2542940029
119	0.2539908826
120	0.2539028056
121	0.2537204764
122	0.2535550674
123	0.2534501943
124	0.2533026833
125	0.2529792367
126	0.2528514256
127	0.252682621
128	0.25248668
129	0.2523268403
130	0.2520821535
131	0.2519314242
132	0.2515797116
133	0.2513913171
134	0.2511449254
135	0.2510062918
136	0.2508494346
137	0.2507385907
138	0.2504914571
139	0.2503487912
140	0.2502262336
141	0.2499995634
142	0.2498691452
143	0.2496997317
144	0.249539806
145	0.2493256105
146	0.2491774089
147	0.2490551135
148	0.2488208126
149	0.2485787197
150	0.248391426
151	0.2482102892
152	0.2479908181
153	0.2479368683
154	0.2476975134
155	0.247586025
156	0.2474063114
157	0.2473151528
158	0.2471024824
159	0.2469146102
160	0.246773598
161	0.2466180097
162	0.2463799327
163	0.2462028415
164	0.2460892587
165	0.2459167417
166	0.2457460644
167	0.2456296372
168	0.2454329647
169	0.2451725852
170	0.2449866143
171	0.2448515881
172	0.2446524746
173	0.2444019043
174	0.2442839319
175	0.2442425774
176	0.2440900708
177	0.2439492458
178	0.2438489198
179	0.2437021292
180	0.2435650788
181	0.243367274
182	0.2432079908
183	0.2431219433
184	0.2429726342
185	0.2427700341
186	0.2426413788
187	0.2424970519
188	0.2423909048
189	0.2422423848
190	0.2421028471
191	0.2417690874
192	0.2416170847
193	0.2415134512
194	0.2413688413
195	0.2413335857
196	0.2412309619
197	0.24110001
198	0.2409123398
199	0.2408045246
