iter	Passed	Remaining
0	4	866
1	8	810
2	13	882
3	17	852
4	21	835
5	25	812
6	29	811
7	33	802
8	37	789
9	40	777
10	45	776
11	49	771
12	53	765
13	57	760
14	61	758
15	65	753
16	69	746
17	73	745
18	78	745
19	82	743
20	86	739
21	90	734
22	94	730
23	98	724
24	102	719
25	106	716
26	111	713
27	115	708
28	119	703
29	123	700
30	128	698
31	132	694
32	136	689
33	140	687
34	144	683
35	149	679
36	151	668
37	156	665
38	160	662
39	164	658
40	168	654
41	174	654
42	178	650
43	182	645
44	186	642
45	190	639
46	195	635
47	199	632
48	205	634
49	209	629
50	214	626
51	222	634
52	228	633
53	232	628
54	237	626
55	241	621
56	246	617
57	250	613
58	255	609
59	259	605
60	263	600
61	268	597
62	272	592
63	276	588
64	281	583
65	286	582
66	291	578
67	296	575
68	300	570
69	326	605
70	330	600
71	338	601
72	342	596
73	346	590
74	351	585
75	355	580
76	360	575
77	365	570
78	369	565
79	373	560
80	377	555
81	382	550
82	386	545
83	391	539
84	395	534
85	399	529
86	403	524
87	407	519
88	412	513
89	417	510
90	421	505
91	425	499
92	430	495
93	434	490
94	439	485
95	443	480
96	447	475
97	451	469
98	455	464
99	459	459
100	464	455
101	468	450
102	473	445
103	477	440
104	481	435
105	485	430
106	489	425
107	493	420
108	498	415
109	502	410
110	506	406
111	510	401
112	514	396
113	518	391
114	523	386
115	527	382
116	531	377
117	536	372
118	540	367
119	544	362
120	548	358
121	552	353
122	556	348
123	560	343
124	565	339
125	569	334
126	573	329
127	577	324
128	581	320
129	585	315
130	590	310
131	594	306
132	598	301
133	602	296
134	606	292
135	610	287
136	615	282
137	619	278
138	623	273
139	627	268
140	631	264
141	635	259
142	639	254
143	643	250
144	647	245
145	651	240
146	655	236
147	659	231
148	662	226
149	666	222
150	670	217
151	674	213
152	678	208
153	682	203
154	685	199
155	689	194
156	693	189
157	697	185
158	701	180
159	705	176
160	709	171
161	713	167
162	718	162
163	722	158
164	726	154
165	730	149
166	734	145
167	738	140
168	742	136
169	746	131
170	750	127
171	754	122
172	758	118
173	763	114
174	767	109
175	771	105
176	774	100
177	779	96
178	783	91
179	787	87
180	791	83
181	795	78
182	799	74
183	803	69
184	807	65
185	811	61
186	815	56
187	819	52
188	823	47
189	828	43
190	833	39
191	837	34
192	841	30
193	846	26
194	850	21
195	854	17
196	859	13
197	863	8
198	868	4
199	872	0
