Dataset,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference_TabPFN_minus_Baseline
Adult,XGBoost,Accuracy,0.8349628806379754,0.8252489653861339,0.00971391525184151
Adult,XGBoost,Precision,0.7030506076261968,0.6365415646720795,0.0665090429541173
Adult,XGBoost,Recall,0.5237973033524788,0.5333944356185588,-0.009597132266080055
Adult,XGBoost,F1,0.58379990634251,0.5744488657199959,0.009351040622514128
Adult,XGBoost,ROC_AUC,0.8743722130082289,0.8463444541685144,0.028027758839714423
Adult,LightGBM,Accuracy,0.8349628806379754,0.824969168750518,0.009993711887457457
Adult,LightGBM,Precision,0.7030506076261968,0.5889323002574844,0.11411830736871231
Adult,LightGBM,Recall,0.5237973033524788,0.496211658316021,0.027585645036457773
Adult,LightGBM,F1,0.58379990634251,0.5360887987505433,0.04771110759196673
Adult,LightGBM,ROC_AUC,0.8743722130082289,0.822320958340378,0.05205125466785088
Adult,CatBoost,Accuracy,0.8349628806379754,0.8408776060326884,-0.005914725394712939
Adult,CatBoost,Precision,0.7030506076261968,0.7330173741352175,-0.029966766509020748
Adult,CatBoost,Recall,0.5237973033524788,0.5194183062446535,0.0043789971078253
Adult,CatBoost,F1,0.58379990634251,0.5936276309149241,-0.009827724572414098
Adult,CatBoost,ROC_AUC,0.8743722130082289,0.878688171129858,-0.004315958121629104
Bank Marketing,XGBoost,Accuracy,0.8979752821177128,0.8873846121440946,0.010590669973618239
Bank Marketing,XGBoost,Precision,0.5660708395017544,0.46761932728859423,0.09845151221316017
Bank Marketing,XGBoost,Recall,0.32014582770726435,0.30452786029345574,0.015617967413808609
Bank Marketing,XGBoost,F1,0.38604514173959736,0.36454217313837084,0.021502968601226524
Bank Marketing,XGBoost,ROC_AUC,0.871611011352019,0.8144820693765253,0.057128941975493674
Bank Marketing,LightGBM,Accuracy,0.8979752821177128,0.8888127096465038,0.009162572471208996
Bank Marketing,LightGBM,Precision,0.5660708395017544,0.45519363646547056,0.11087720303628384
Bank Marketing,LightGBM,Recall,0.32014582770726435,0.2860563507066342,0.03408947700063014
Bank Marketing,LightGBM,F1,0.38604514173959736,0.3478876840350179,0.038157457704579456
Bank Marketing,LightGBM,ROC_AUC,0.871611011352019,0.8114907474874828,0.06012026386453617
Bank Marketing,CatBoost,Accuracy,0.8979752821177128,0.896732542403227,0.001242739714485852
Bank Marketing,CatBoost,Precision,0.5660708395017544,0.602207013939665,-0.03613617443791062
Bank Marketing,CatBoost,Recall,0.32014582770726435,0.27213970654424335,0.048006121163021
Bank Marketing,CatBoost,F1,0.38604514173959736,0.34641823917854986,0.039626902561047506
Bank Marketing,CatBoost,ROC_AUC,0.871611011352019,0.8581072418787746,0.013503769473244387
Credit-G,XGBoost,Accuracy,0.7145,0.6975,0.017000000000000015
Credit-G,XGBoost,Precision,0.7550363509076753,0.762067366386654,-0.007031015478978664
Credit-G,XGBoost,Recall,0.8858571428571428,0.8320000000000002,0.053857142857142604
Credit-G,XGBoost,F1,0.8126272842414081,0.7931242799377825,0.019503004303625615
Credit-G,XGBoost,ROC_AUC,0.7145904761904762,0.6742488095238095,0.04034166666666672
Credit-G,LightGBM,Accuracy,0.7145,0.7040000000000001,0.010499999999999954
Credit-G,LightGBM,Precision,0.7550363509076753,0.7531913267577319,0.001845024149943364
Credit-G,LightGBM,Recall,0.8858571428571428,0.8717142857142858,0.014142857142857013
Credit-G,LightGBM,F1,0.8126272842414081,0.8035580672030533,0.009069217038354727
Credit-G,LightGBM,ROC_AUC,0.7145904761904762,0.6397607142857143,0.07482976190476187
Credit-G,CatBoost,Accuracy,0.7145,0.7212000000000001,-0.006700000000000039
Credit-G,CatBoost,Precision,0.7550363509076753,0.7541674043634019,0.0008689465442733857
Credit-G,CatBoost,Recall,0.8858571428571428,0.8957142857142858,-0.009857142857143009
Credit-G,CatBoost,F1,0.8126272842414081,0.8181504043815677,-0.005523120140159654
Credit-G,CatBoost,ROC_AUC,0.7145904761904762,0.7213380952380952,-0.006747619047619002
