Dataset,Samples,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference
Adult,10,XGBoost,Accuracy,0.7525847067253557,0.7606715119254785,-0.008086805200122837
Adult,10,XGBoost,Precision,0.4991880533710856,0.0,0.4991880533710856
Adult,10,XGBoost,Recall,0.1500427715996578,0.0,0.1500427715996578
Adult,10,XGBoost,F1,0.18690709633492483,0.0,0.18690709633492483
Adult,10,XGBoost,ROC_AUC,0.7003607296048655,0.5,0.2003607296048655
Adult,10,LightGBM,Accuracy,0.7525847067253557,0.7606715119254785,-0.008086805200122837
Adult,10,LightGBM,Precision,0.4991880533710856,0.0,0.4991880533710856
Adult,10,LightGBM,Recall,0.1500427715996578,0.0,0.1500427715996578
Adult,10,LightGBM,F1,0.18690709633492483,0.0,0.18690709633492483
Adult,10,LightGBM,ROC_AUC,0.7003607296048655,0.5,0.2003607296048655
Adult,10,CatBoost,Accuracy,0.7525847067253557,0.762657385607534,-0.010072678882178332
Adult,10,CatBoost,Precision,0.4991880533710856,0.5674775340238705,-0.06828948065278484
Adult,10,CatBoost,Recall,0.1500427715996578,0.14217279726261758,0.007869974337040203
Adult,10,CatBoost,F1,0.18690709633492483,0.21404899832336072,-0.027141901988435885
Adult,10,CatBoost,ROC_AUC,0.7003607296048655,0.7122340589022083,-0.01187332929734275
Adult,20,XGBoost,Accuracy,0.7607124577745931,0.766403930801515,-0.005691473026921967
Adult,20,XGBoost,Precision,0.5292806308059215,0.5138276724405353,0.015452958365386182
Adult,20,XGBoost,Recall,0.2397775876817793,0.30153977758768175,-0.06176218990590246
Adult,20,XGBoost,F1,0.2971878438686974,0.35276505098266353,-0.05557720711396613
Adult,20,XGBoost,ROC_AUC,0.7201246045886196,0.754113423766689,-0.033988819178069396
Adult,20,LightGBM,Accuracy,0.7607124577745931,0.7606715119254785,4.0945849114515376e-05
Adult,20,LightGBM,Precision,0.5292806308059215,0.0,0.5292806308059215
Adult,20,LightGBM,Recall,0.2397775876817793,0.0,0.2397775876817793
Adult,20,LightGBM,F1,0.2971878438686974,0.0,0.2971878438686974
Adult,20,LightGBM,ROC_AUC,0.7201246045886196,0.5,0.2201246045886196
Adult,20,CatBoost,Accuracy,0.7607124577745931,0.7807145050670489,-0.020002047292455805
Adult,20,CatBoost,Precision,0.5292806308059215,0.6040735364534694,-0.07479290564754792
Adult,20,CatBoost,Recall,0.2397775876817793,0.28665526090675786,-0.04687767322497857
Adult,20,CatBoost,F1,0.2971878438686974,0.36051750519096465,-0.06332966132226725
Adult,20,CatBoost,ROC_AUC,0.7201246045886196,0.7580067789906086,-0.037882174401989044
Adult,35,XGBoost,Accuracy,0.7915856280069609,0.7662606203296141,0.0253250076773468
Adult,35,XGBoost,Precision,0.6431792416439196,0.5243195910191097,0.11885965062480985
Adult,35,XGBoost,Recall,0.22035928143712571,0.3911890504704876,-0.17082976903336186
Adult,35,XGBoost,F1,0.2797645475267377,0.42778791023521895,-0.14802336270848127
Adult,35,XGBoost,ROC_AUC,0.8189084026997623,0.7473009111829977,0.0716074915167646
Adult,35,LightGBM,Accuracy,0.7915856280069609,0.7606715119254785,0.030914116081482312
Adult,35,LightGBM,Precision,0.6431792416439196,0.0,0.6431792416439196
Adult,35,LightGBM,Recall,0.22035928143712571,0.0,0.22035928143712571
Adult,35,LightGBM,F1,0.2797645475267377,0.0,0.2797645475267377
Adult,35,LightGBM,ROC_AUC,0.8189084026997623,0.5,0.3189084026997623
Adult,35,CatBoost,Accuracy,0.7915856280069609,0.7940423789538336,-0.002456750946872699
Adult,35,CatBoost,Precision,0.6431792416439196,0.7074996883071305,-0.0643204466632109
Adult,35,CatBoost,Recall,0.22035928143712571,0.23669803250641572,-0.016338751069290003
Adult,35,CatBoost,F1,0.2797645475267377,0.3316783883560091,-0.05191384082927142
Adult,35,CatBoost,ROC_AUC,0.8189084026997623,0.8163466250496872,0.0025617776500750367
Adult,50,XGBoost,Accuracy,0.8076568737844202,0.7849933462995189,0.022663527484901302
Adult,50,XGBoost,Precision,0.689221163777768,0.5847807699558151,0.10444039382195291
Adult,50,XGBoost,Recall,0.40290846877673225,0.4485885372112917,-0.04568006843455946
Adult,50,XGBoost,F1,0.48185549131903976,0.4861002936659772,-0.004244802346937415
Adult,50,XGBoost,ROC_AUC,0.8428826699792641,0.7920919968702079,0.05079067310905616
Adult,50,LightGBM,Accuracy,0.8076568737844202,0.7711945951479169,0.03646227863650331
Adult,50,LightGBM,Precision,0.689221163777768,0.5388610687907801,0.15036009498698788
Adult,50,LightGBM,Recall,0.40290846877673225,0.37313943541488453,0.02976903336184772
Adult,50,LightGBM,F1,0.48185549131903976,0.4295427609359506,0.052312730383089145
Adult,50,LightGBM,ROC_AUC,0.8428826699792641,0.7682503267298956,0.07463234324936852
Adult,50,CatBoost,Accuracy,0.8076568737844202,0.8057119459514791,0.0019449278329410902
