Accuracy,Precision,Recall,F1,ROC_AUC,Prediction_Time,Model,Samples,Seed,Training_Time
0.7,0.7,1.0,0.8235294117647058,0.5698809523809524,0.009743913000420434,XGBoost,10,42,0.03762283400010347
0.7,0.7,1.0,0.8235294117647058,0.5,0.009769768000296608,LightGBM,10,42,0.016261624000435404
0.685,0.712707182320442,0.9214285714285714,0.8037383177570093,0.6780952380952381,0.01138776300012978,CatBoost,10,42,0.2879649749993405
0.7,0.7,1.0,0.8235294117647058,0.585,0.7073164960002032,TabPFN,10,42,0.624665203999939
0.685,0.7333333333333333,0.8642857142857143,0.7934426229508197,0.614642857142857,0.00984059599977627,XGBoost,20,42,0.03779342599955271
0.7,0.7,1.0,0.8235294117647058,0.5,0.009758013999999093,LightGBM,20,42,0.01624859000003198
0.79,0.80625,0.9214285714285714,0.86,0.7508333333333334,0.011174594999829424,CatBoost,20,42,0.3173905290004768
0.725,0.7607361963190185,0.8857142857142857,0.8184818481848185,0.7333333333333334,0.6795720809996055,TabPFN,20,42,0.6337033499994504
0.72,0.7658227848101266,0.8642857142857143,0.8120805369127517,0.6916666666666667,0.009816614000556001,XGBoost,35,42,0.046901671000341594
0.7,0.7,1.0,0.8235294117647058,0.5,0.009434018999854743,LightGBM,35,42,0.015830508999897575
0.705,0.7262569832402235,0.9285714285714286,0.8150470219435737,0.7270238095238095,0.01149322499986738,CatBoost,35,42,0.335802892999709
0.69,0.7166666666666667,0.9214285714285714,0.80625,0.6480952380952382,0.6722953970001981,TabPFN,35,42,0.6180942969995158
0.715,0.7712418300653595,0.8428571428571429,0.8054607508532423,0.6930952380952381,0.009385457000462338,XGBoost,50,42,0.0462355400004526
0.66,0.7307692307692307,0.8142857142857143,0.7702702702702703,0.6221428571428571,0.010072690000015427,LightGBM,50,42,0.024355456000193954
0.765,0.7751479289940828,0.9357142857142857,0.8478964401294499,0.7467857142857144,0.010516186999666388,CatBoost,50,42,0.34240374799992424
0.725,0.7814569536423841,0.8428571428571429,0.8109965635738832,0.7495238095238095,0.6648670340000535,TabPFN,50,42,0.6369009860000006
0.74,0.8235294117647058,0.8,0.8115942028985508,0.7219047619047619,0.009432959999685409,XGBoost,75,42,0.05007854399991629
0.715,0.782312925170068,0.8214285714285714,0.8013937282229965,0.7132142857142858,0.009850691999417904,LightGBM,75,42,0.029101672999786388
0.755,0.7791411042944786,0.9071428571428571,0.8382838283828383,0.7465476190476191,0.013598859000012453,CatBoost,75,42,0.3482453719998375
0.73,0.7654320987654321,0.8857142857142857,0.8211920529801324,0.7441666666666666,0.7020646560004025,TabPFN,75,42,0.6492795909998677
0.715,0.7748344370860927,0.8357142857142857,0.8041237113402062,0.6972619047619047,0.009592630999577523,XGBoost,100,42,0.053590239999721234
0.68,0.75,0.8142857142857143,0.7808219178082192,0.6840476190476191,0.011643040999842924,LightGBM,100,42,0.033353343999806384
0.715,0.7485029940119761,0.8928571428571429,0.8143322475570033,0.7152380952380953,0.010797974000524846,CatBoost,100,42,0.35604675200011116
0.7,0.7631578947368421,0.8285714285714286,0.7945205479452054,0.7370238095238096,0.6622729930004425,TabPFN,100,42,0.6315732129996832
