Dataset,Metric,Best_Model,Mean,Std
Adult,Accuracy,CatBoost,0.8408776060326884,0.03401884742288298
Adult,Precision,CatBoost,0.7330173741352175,0.08970746478654795
Adult,Recall,XGBoost,0.5333944356185588,0.1700887592012934
Adult,F1,CatBoost,0.5936276309149241,0.15089291583263387
Adult,ROC_AUC,CatBoost,0.878688171129858,0.06498340271998514
Bank Marketing,Accuracy,TabPFN,0.8979752821177128,0.013674124834741955
Bank Marketing,Precision,CatBoost,0.602207013939665,0.11707869979584637
Bank Marketing,Recall,TabPFN,0.32014582770726435,0.19236314604613294
Bank Marketing,F1,TabPFN,0.38604514173959736,0.20456334995446368
Bank Marketing,ROC_AUC,TabPFN,0.871611011352019,0.09389340751665895
Credit-G,Accuracy,CatBoost,0.7212000000000001,0.029598676197645415
Credit-G,Precision,XGBoost,0.762067366386654,0.03566413133727131
Credit-G,Recall,CatBoost,0.8957142857142858,0.0338123296444508
Credit-G,F1,CatBoost,0.8181504043815677,0.018085750095760588
Credit-G,ROC_AUC,CatBoost,0.7213380952380952,0.055671994364724184
