Dataset,Model,Training_Time_Mean,Training_Time_Std,Prediction_Time_Mean,Prediction_Time_Std
Adult,CatBoost,0.5575785094381119,0.391167139772615,0.04949269470475012,0.004099762582998305
Adult,LightGBM,0.18916506430477534,0.16986348402855003,0.09875391084762795,0.03257758970736467
Adult,TabPFN,0.678801162723799,0.07446241550202908,9.036302468619047,13.621773687787158
Adult,XGBoost,0.17440630020001835,0.15369350139616395,0.06214226472380639,0.008892890838339426
Bank Marketing,CatBoost,0.6248052008381256,0.3908483625208369,0.04152359321899326,0.0027074452060098465
Bank Marketing,LightGBM,0.20470446698099337,0.18227964700334323,0.09127153671427417,0.03033889013909936
Bank Marketing,TabPFN,0.6851323293618969,0.0736245768733784,8.946186901266671,13.517065627329469
Bank Marketing,XGBoost,0.21159954890481458,0.21602120194624042,0.046021163628557495,0.0051038053369872076
Credit-G,CatBoost,0.3508993898799963,0.03674389688487722,0.011057219220092469,0.0016700306524504928
Credit-G,LightGBM,0.05202990229990968,0.04790247131978481,0.011014560539915643,0.0012779959350233498
Credit-G,TabPFN,0.6587784680000186,0.058893991054546915,0.6672624835400711,0.015686806674647998
Credit-G,XGBoost,0.06529494790003804,0.027121516069379906,0.009946385560033334,0.0005065986439013094
