Dataset,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Adult,CatBoost,0.8408776060326884,0.03401884742288298,0.7330173741352175,0.08970746478654795,0.5194183062446535,0.16025924499085187,0.5936276309149241,0.15089291583263387,0.878688171129858,0.06498340271998514
Adult,LightGBM,0.824969168750518,0.0408421121454174,0.5889323002574844,0.25290118557454766,0.496211658316021,0.22098114810891722,0.5360887987505433,0.2342128935400638,0.822320958340378,0.14131552008776377
Adult,TabPFN,0.8349628806379754,0.03513556862061547,0.7030506076261968,0.12888083771093978,0.5237973033524788,0.1663650514026031,0.58379990634251,0.16640511078256967,0.8743722130082289,0.06745858411542312
Adult,XGBoost,0.8252489653861339,0.03751766934685961,0.6365415646720795,0.16684261296119982,0.5333944356185588,0.1700887592012934,0.5744488657199959,0.1687779785712185,0.8463444541685144,0.09870849731433941
Bank Marketing,CatBoost,0.896732542403227,0.009577065438667522,0.602207013939665,0.11707869979584637,0.27213970654424335,0.170885121763151,0.34641823917854986,0.1943376457583353,0.8581072418787746,0.09314684201008545
Bank Marketing,LightGBM,0.8888127096465038,0.014520815027541973,0.45519363646547056,0.21493458516303307,0.2860563507066342,0.160027895028861,0.3478876840350179,0.18351585430020298,0.8114907474874828,0.142996472367274
Bank Marketing,TabPFN,0.8979752821177128,0.013674124834741955,0.5660708395017544,0.192687570358741,0.32014582770726435,0.19236314604613294,0.38604514173959736,0.20456334995446368,0.871611011352019,0.09389340751665895
Bank Marketing,XGBoost,0.8873846121440946,0.013991211565939615,0.46761932728859423,0.18486489443482362,0.30452786029345574,0.1516650278660882,0.36454217313837084,0.16702200513275123,0.8144820693765253,0.13047460545571105
Credit-G,CatBoost,0.7212000000000001,0.029598676197645415,0.7541674043634019,0.027365148243876907,0.8957142857142858,0.0338123296444508,0.8181504043815677,0.018085750095760588,0.7213380952380952,0.055671994364724184
Credit-G,LightGBM,0.7040000000000001,0.029623487647611028,0.7531913267577319,0.04214596228873083,0.8717142857142858,0.09276133204645172,0.8035580672030533,0.025561698276883687,0.6397607142857143,0.1025061156424322
Credit-G,TabPFN,0.7145,0.0299872421852619,0.7550363509076753,0.039714626784661936,0.8858571428571428,0.06389564195799655,0.8126272842414081,0.01921691261105029,0.7145904761904762,0.06394907068187526
Credit-G,XGBoost,0.6975,0.035112792017515576,0.762067366386654,0.03566413133727131,0.8320000000000002,0.06946634205175059,0.7931242799377825,0.027410598489731673,0.6742488095238095,0.07103093572807777
