Dataset,Metric,Best_Model,Mean,Std
Adult,Accuracy,CatBoost,0.8409,0.034
Adult,Precision,CatBoost,0.733,0.0897
Adult,Recall,XGBoost,0.5334,0.1701
Adult,F1,CatBoost,0.5936,0.1509
Adult,ROC_AUC,CatBoost,0.8787,0.065
Bank Marketing,Accuracy,TabPFN,0.898,0.0137
Bank Marketing,Precision,CatBoost,0.6022,0.1171
Bank Marketing,Recall,TabPFN,0.3201,0.1924
Bank Marketing,F1,TabPFN,0.386,0.2046
Bank Marketing,ROC_AUC,TabPFN,0.8716,0.0939
Credit-G,Accuracy,CatBoost,0.7212,0.0296
Credit-G,Precision,XGBoost,0.7621,0.0357
Credit-G,Recall,CatBoost,0.8957,0.0338
Credit-G,F1,CatBoost,0.8182,0.0181
Credit-G,ROC_AUC,CatBoost,0.7213,0.0557
