Dataset,Metric,Tree_Model,N,TabPFN_Mean,Tree_Mean,TabPFN_Minus_Tree,CI95_Low,CI95_High,Wilcoxon_p,Rank_Biserial_Effect,Significant_p05,Direction,Effect_Strength
Adult,Accuracy,XGBoost,105,0.83496,0.82525,0.00971,0.00604,0.01338,0.0,0.72418,True,TabPFN higher,Large
Adult,Accuracy,LightGBM,105,0.83496,0.82497,0.00999,0.00591,0.01408,0.0,0.57091,True,TabPFN higher,Large
Adult,Accuracy,CatBoost,105,0.83496,0.84088,-0.00591,-0.00862,-0.00321,0.0,-0.72794,True,TabPFN lower,Large
Adult,Precision,XGBoost,105,0.70305,0.63654,0.06651,0.03766,0.09536,0.0,0.89414,True,TabPFN higher,Large
Adult,Precision,LightGBM,105,0.70305,0.58893,0.11412,0.07283,0.1554,0.0,0.82786,True,TabPFN higher,Large
Adult,Precision,CatBoost,105,0.70305,0.73302,-0.02997,-0.0456,-0.01434,0.0,-0.83863,True,TabPFN lower,Large
Adult,Recall,XGBoost,105,0.5238,0.53339,-0.0096,-0.02487,0.00568,0.00313,-0.3337,True,TabPFN lower,Medium
Adult,Recall,LightGBM,105,0.5238,0.49621,0.02759,0.00668,0.04849,0.72482,-0.03996,False,TabPFN higher,Negligible
Adult,Recall,CatBoost,105,0.5238,0.51942,0.00438,-0.00676,0.01552,0.64986,-0.04942,False,TabPFN higher,Negligible
Adult,F1,XGBoost,105,0.5838,0.57445,0.00935,-0.00631,0.02501,0.01122,0.28645,True,TabPFN higher,Small
Adult,F1,LightGBM,105,0.5838,0.53609,0.04771,0.02487,0.07056,0.00024,0.41673,True,TabPFN higher,Medium
Adult,F1,CatBoost,105,0.5838,0.59363,-0.00983,-0.01984,0.00018,0.00018,-0.42066,True,TabPFN lower,Medium
Adult,ROC_AUC,XGBoost,105,0.87437,0.84634,0.02803,0.01746,0.0386,0.0,0.75597,True,TabPFN higher,Large
Adult,ROC_AUC,LightGBM,105,0.87437,0.82232,0.05205,0.03443,0.06967,0.0,0.74555,True,TabPFN higher,Large
Adult,ROC_AUC,CatBoost,105,0.87437,0.87869,-0.00432,-0.00762,-0.00101,7e-05,-0.44546,True,TabPFN lower,Medium
Bank Marketing,Accuracy,XGBoost,105,0.89798,0.88738,0.01059,0.00855,0.01263,0.0,0.91723,True,TabPFN higher,Large
Bank Marketing,Accuracy,LightGBM,105,0.89798,0.88881,0.00916,0.00713,0.0112,0.0,0.90806,True,TabPFN higher,Large
