Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Adult,Small,Accuracy,TabPFN vs XGBoost,30,0.7912,0.7749,0.0163,0.0321
Adult,Small,Accuracy,TabPFN vs LightGBM,30,0.7912,0.7693,0.0219,0.0323
Adult,Small,Accuracy,TabPFN vs CatBoost,30,0.7912,0.7961,-0.0049,0.0258
Adult,Small,Precision,TabPFN vs XGBoost,30,0.6178,0.4634,0.1544,0.2622
Adult,Small,Precision,TabPFN vs LightGBM,30,0.6178,0.2773,0.3405,0.2999
Adult,Small,Precision,TabPFN vs CatBoost,30,0.6178,0.663,-0.0452,0.1527
Adult,Small,Recall,TabPFN vs XGBoost,30,0.3355,0.345,-0.0096,0.1448
Adult,Small,Recall,TabPFN vs LightGBM,30,0.3355,0.2216,0.1139,0.1723
Adult,Small,Recall,TabPFN vs CatBoost,30,0.3355,0.3201,0.0154,0.104
Adult,Small,F1,TabPFN vs XGBoost,30,0.3935,0.3785,0.015,0.1508
Adult,Small,F1,TabPFN vs LightGBM,30,0.3935,0.2398,0.1537,0.1811
Adult,Small,F1,TabPFN vs CatBoost,30,0.3935,0.4047,-0.0111,0.0965
Adult,Small,ROC_AUC,TabPFN vs XGBoost,30,0.7993,0.7304,0.0689,0.0895
Adult,Small,ROC_AUC,TabPFN vs LightGBM,30,0.7993,0.6419,0.1574,0.1152
Adult,Small,ROC_AUC,TabPFN vs CatBoost,30,0.7993,0.8015,-0.0023,0.0318
Adult,Medium,Accuracy,TabPFN vs XGBoost,25,0.8401,0.8243,0.0159,0.0073
Adult,Medium,Accuracy,TabPFN vs LightGBM,25,0.8401,0.8222,0.0179,0.01
Adult,Medium,Accuracy,TabPFN vs CatBoost,25,0.8401,0.8444,-0.0043,0.0047
Adult,Medium,Precision,TabPFN vs XGBoost,25,0.7097,0.6588,0.051,0.0225
Adult,Medium,Precision,TabPFN vs LightGBM,25,0.7097,0.6539,0.0558,0.0283
Adult,Medium,Precision,TabPFN vs CatBoost,25,0.7097,0.7354,-0.0257,0.0139
Adult,Medium,Recall,TabPFN vs XGBoost,25,0.5718,0.5589,0.0128,0.0348
Adult,Medium,Recall,TabPFN vs LightGBM,25,0.5718,0.5519,0.0199,0.0367
Adult,Medium,Recall,TabPFN vs CatBoost,25,0.5718,0.5537,0.0181,0.0234
Adult,Medium,F1,TabPFN vs XGBoost,25,0.6303,0.6024,0.0279,0.0218
Adult,Medium,F1,TabPFN vs LightGBM,25,0.6303,0.5964,0.0339,0.0281
Adult,Medium,F1,TabPFN vs CatBoost,25,0.6303,0.6289,0.0014,0.0151
Adult,Medium,ROC_AUC,TabPFN vs XGBoost,25,0.89,0.8629,0.0271,0.0099
Adult,Medium,ROC_AUC,TabPFN vs LightGBM,25,0.89,0.8589,0.0311,0.0215
Adult,Medium,ROC_AUC,TabPFN vs CatBoost,25,0.89,0.8922,-0.0022,0.0055
Adult,Large,Accuracy,TabPFN vs XGBoost,50,0.8586,0.8559,0.0027,0.0071
Adult,Large,Accuracy,TabPFN vs LightGBM,50,0.8586,0.8598,-0.0011,0.0075
Adult,Large,Accuracy,TabPFN vs CatBoost,50,0.8586,0.866,-0.0074,0.0037
Adult,Large,Precision,TabPFN vs XGBoost,50,0.7509,0.7293,0.0216,0.021
Adult,Large,Precision,TabPFN vs LightGBM,50,0.7509,0.7434,0.0075,0.0235
Adult,Large,Precision,TabPFN vs CatBoost,50,0.7509,0.7738,-0.0229,0.0084
Adult,Large,Recall,TabPFN vs XGBoost,50,0.6128,0.6337,-0.0208,0.0121
Adult,Large,Recall,TabPFN vs LightGBM,50,0.6128,0.6332,-0.0204,0.0127
Adult,Large,Recall,TabPFN vs CatBoost,50,0.6128,0.6219,-0.0091,0.0133
Adult,Large,F1,TabPFN vs XGBoost,50,0.6747,0.678,-0.0033,0.0137
Adult,Large,F1,TabPFN vs LightGBM,50,0.6747,0.6837,-0.009,0.0145
Adult,Large,F1,TabPFN vs CatBoost,50,0.6747,0.6894,-0.0147,0.0102
Adult,Large,ROC_AUC,TabPFN vs XGBoost,50,0.9116,0.9076,0.004,0.0092
Adult,Large,ROC_AUC,TabPFN vs LightGBM,50,0.9116,0.9123,-0.0006,0.0088
Adult,Large,ROC_AUC,TabPFN vs CatBoost,50,0.9116,0.9182,-0.0066,0.0036
Bank Marketing,Small,Accuracy,TabPFN vs XGBoost,30,0.8819,0.8734,0.0085,0.0191
Bank Marketing,Small,Accuracy,TabPFN vs LightGBM,30,0.8819,0.8736,0.0083,0.0188
Bank Marketing,Small,Accuracy,TabPFN vs CatBoost,30,0.8819,0.8856,-0.0037,0.0101
Bank Marketing,Small,Precision,TabPFN vs XGBoost,30,0.3811,0.2422,0.1389,0.2288
Bank Marketing,Small,Precision,TabPFN vs LightGBM,30,0.3811,0.1592,0.2219,0.2516
Bank Marketing,Small,Precision,TabPFN vs CatBoost,30,0.3811,0.5308,-0.1497,0.3033
Bank Marketing,Small,Recall,TabPFN vs XGBoost,30,0.0859,0.1065,-0.0206,0.0825
Bank Marketing,Small,Recall,TabPFN vs LightGBM,30,0.0859,0.0747,0.0112,0.0693
Bank Marketing,Small,Recall,TabPFN vs CatBoost,30,0.0859,0.0555,0.0305,0.0673
Bank Marketing,Small,F1,TabPFN vs XGBoost,30,0.1266,0.1442,-0.0177,0.097
Bank Marketing,Small,F1,TabPFN vs LightGBM,30,0.1266,0.0981,0.0284,0.0815
Bank Marketing,Small,F1,TabPFN vs CatBoost,30,0.1266,0.0926,0.0339,0.0865
Bank Marketing,Small,ROC_AUC,TabPFN vs XGBoost,30,0.752,0.6437,0.1083,0.0837
Bank Marketing,Small,ROC_AUC,TabPFN vs LightGBM,30,0.752,0.6195,0.1325,0.0977
Bank Marketing,Small,ROC_AUC,TabPFN vs CatBoost,30,0.752,0.7326,0.0194,0.0336
Bank Marketing,Medium,Accuracy,TabPFN vs XGBoost,25,0.8953,0.8824,0.0129,0.0057
Bank Marketing,Medium,Accuracy,TabPFN vs LightGBM,25,0.8953,0.8829,0.0124,0.0058
Bank Marketing,Medium,Accuracy,TabPFN vs CatBoost,25,0.8953,0.8931,0.0022,0.0037
Bank Marketing,Medium,Precision,TabPFN vs XGBoost,25,0.6237,0.4965,0.1271,0.062
Bank Marketing,Medium,Precision,TabPFN vs LightGBM,25,0.6237,0.5012,0.1224,0.066
Bank Marketing,Medium,Precision,TabPFN vs CatBoost,25,0.6237,0.6022,0.0215,0.0661
Bank Marketing,Medium,Recall,TabPFN vs XGBoost,25,0.27,0.2907,-0.0208,0.081
Bank Marketing,Medium,Recall,TabPFN vs LightGBM,25,0.27,0.2732,-0.0033,0.0868
