Dataset,Model,Metric,N,Mean,Std,Min,Max
Adult,CatBoost,Accuracy,105,0.8408776060326884,0.03401884742288298,0.6992527382536595,0.8765482649196438
Adult,CatBoost,Precision,105,0.7330173741352175,0.08970746478654795,0.2,0.8285960378983634
Adult,CatBoost,Recall,105,0.5194183062446535,0.16025924499085187,0.0718562874251497,0.6621043627031651
Adult,CatBoost,F1,105,0.5936276309149241,0.15089291583263387,0.1180604356992269,0.7157001414427157
Adult,CatBoost,ROC_AUC,105,0.878688171129858,0.06498340271998514,0.5247837562086738,0.9288084825792212
Adult,LightGBM,Accuracy,105,0.824969168750518,0.0408421121454174,0.7528918005937149,0.8754222540689938
Adult,LightGBM,Precision,105,0.5889323002574844,0.25290118557454766,0.0,0.7883817427385892
Adult,LightGBM,Recall,105,0.496211658316021,0.22098114810891722,0.0,0.6638152266894782
Adult,LightGBM,F1,105,0.5360887987505433,0.2342128935400638,0.0,0.7171740646060888
Adult,LightGBM,ROC_AUC,105,0.822320958340378,0.14131552008776377,0.5,0.9285578448040764
Adult,TabPFN,Accuracy,105,0.8349628806379754,0.03513556862061547,0.679189272187532,0.8636503224485618
Adult,TabPFN,Precision,105,0.7030506076261968,0.12888083771093978,0.0,1.0
Adult,TabPFN,Recall,105,0.5237973033524788,0.1663650514026031,0.0,0.7164242942686057
Adult,TabPFN,F1,105,0.58379990634251,0.16640511078256967,0.0,0.6881118881118881
Adult,TabPFN,ROC_AUC,105,0.8743722130082289,0.06745858411542312,0.5402106278244595,0.9175770380917616
Adult,XGBoost,Accuracy,105,0.8252489653861339,0.03751766934685961,0.7314975944313645,0.8726584092537619
Adult,XGBoost,Precision,105,0.6365415646720795,0.16684261296119982,0.0,0.7737737737737738
Adult,XGBoost,Recall,105,0.5333944356185588,0.1700887592012934,0.0,0.6916167664670658
Adult,XGBoost,F1,105,0.5744488657199959,0.1687779785712185,0.0,0.7140902872777017
Adult,XGBoost,ROC_AUC,105,0.8463444541685144,0.09870849731433941,0.5,0.92649276681656
Bank Marketing,CatBoost,Accuracy,105,0.896732542403227,0.009577065438667522,0.8807917726418224,0.9124184452062368
Bank Marketing,CatBoost,Precision,105,0.602207013939665,0.11707869979584637,0.0,0.8181818181818182
Bank Marketing,CatBoost,Recall,105,0.27213970654424335,0.170885121763151,0.0,0.503780718336484
Bank Marketing,CatBoost,F1,105,0.34641823917854986,0.1943376457583353,0.0,0.573735199138859
Bank Marketing,CatBoost,ROC_AUC,105,0.8581072418787746,0.09314684201008545,0.5092055875087149,0.9338001427534852
Bank Marketing,LightGBM,Accuracy,105,0.8888127096465038,0.014520815027541973,0.8466216963397103,0.9104279553245604
Bank Marketing,LightGBM,Precision,105,0.45519363646547056,0.21493458516303307,0.0,0.6546134663341646
Bank Marketing,LightGBM,Recall,105,0.2860563507066342,0.160027895028861,0.0,0.4962192816635161
Bank Marketing,LightGBM,F1,105,0.3478876840350179,0.18351585430020298,0.0,0.5645161290322581
Bank Marketing,LightGBM,ROC_AUC,105,0.8114907474874828,0.142996472367274,0.5,0.9340865966787916
Bank Marketing,TabPFN,Accuracy,105,0.8979752821177128,0.013674124834741955,0.8337940948800177,0.9152935972575472
Bank Marketing,TabPFN,Precision,105,0.5660708395017544,0.192687570358741,0.0,1.0
Bank Marketing,TabPFN,Recall,105,0.32014582770726435,0.19236314604613294,0.0,0.5642722117202268
Bank Marketing,TabPFN,F1,105,0.38604514173959736,0.20456334995446368,0.0,0.6072708653353814
Bank Marketing,TabPFN,ROC_AUC,105,0.871611011352019,0.09389340751665895,0.4771916980444193,0.9419383934669564
Bank Marketing,XGBoost,Accuracy,105,0.8873846121440946,0.013991211565939615,0.8282649563198053,0.9069998894172288
Bank Marketing,XGBoost,Precision,105,0.46761932728859423,0.18486489443482362,0.0,0.6287069988137604
Bank Marketing,XGBoost,Recall,105,0.30452786029345574,0.1516650278660882,0.0,0.500945179584121
Bank Marketing,XGBoost,F1,105,0.36454217313837084,0.16702200513275123,0.0,0.5576012624934246
Bank Marketing,XGBoost,ROC_AUC,105,0.8144820693765253,0.13047460545571105,0.5,0.92718424077281
Credit-G,CatBoost,Accuracy,50,0.7212000000000001,0.029598676197645415,0.655,0.79
Credit-G,CatBoost,Precision,50,0.7541674043634019,0.027365148243876907,0.7111111111111111,0.80625
Credit-G,CatBoost,Recall,50,0.8957142857142858,0.0338123296444508,0.8,0.9571428571428572
Credit-G,CatBoost,F1,50,0.8181504043815677,0.018085750095760588,0.7676767676767676,0.86
Credit-G,CatBoost,ROC_AUC,50,0.7213380952380952,0.055671994364724184,0.5775000000000001,0.805
Credit-G,LightGBM,Accuracy,50,0.7040000000000001,0.029623487647611028,0.65,0.81
Credit-G,LightGBM,Precision,50,0.7531913267577319,0.04214596228873083,0.7,0.84
Credit-G,LightGBM,Recall,50,0.8717142857142858,0.09276133204645172,0.6928571428571428,1.0
Credit-G,LightGBM,F1,50,0.8035580672030533,0.025561698276883687,0.7461538461538462,0.8689655172413793
Credit-G,LightGBM,ROC_AUC,50,0.6397607142857143,0.1025061156424322,0.5,0.7796428571428571
Credit-G,TabPFN,Accuracy,50,0.7145,0.0299872421852619,0.65,0.775
Credit-G,TabPFN,Precision,50,0.7550363509076753,0.039714626784661936,0.6984126984126984,0.8275862068965517
Credit-G,TabPFN,Recall,50,0.8858571428571428,0.06389564195799655,0.7571428571428571,1.0
Credit-G,TabPFN,F1,50,0.8126272842414081,0.01921691261105029,0.759581881533101,0.8421052631578947
Credit-G,TabPFN,ROC_AUC,50,0.7145904761904762,0.06394907068187526,0.585,0.8061904761904762
Credit-G,XGBoost,Accuracy,50,0.6975,0.035112792017515576,0.595,0.78
Credit-G,XGBoost,Precision,50,0.762067366386654,0.03566413133727131,0.7,0.8333333333333334
Credit-G,XGBoost,Recall,50,0.8320000000000002,0.06946634205175059,0.7071428571428572,1.0
Credit-G,XGBoost,F1,50,0.7931242799377825,0.027410598489731673,0.7117437722419929,0.8450704225352113
Credit-G,XGBoost,ROC_AUC,50,0.6742488095238095,0.07103093572807777,0.445297619047619,0.7750000000000001
