Dataset,Samples,Metric,Model,Mean,Std,N
Adult,10,Accuracy,XGBoost,0.7606715119254785,0.0,5
Adult,10,Accuracy,LightGBM,0.7606715119254785,0.0,5
Adult,10,Accuracy,CatBoost,0.762657385607534,0.04348952295005049,5
Adult,10,Accuracy,TabPFN,0.7525847067253557,0.04193627611079726,5
Adult,10,Precision,XGBoost,0.0,0.0,5
Adult,10,Precision,LightGBM,0.0,0.0,5
Adult,10,Precision,CatBoost,0.5674775340238705,0.2812304919061023,5
Adult,10,Precision,TabPFN,0.4991880533710856,0.3442384898904125,5
Adult,10,Recall,XGBoost,0.0,0.0,5
Adult,10,Recall,LightGBM,0.0,0.0,5
Adult,10,Recall,CatBoost,0.14217279726261758,0.11793433890085861,5
Adult,10,Recall,TabPFN,0.1500427715996578,0.15968403113631327,5
Adult,10,F1,XGBoost,0.0,0.0,5
Adult,10,F1,LightGBM,0.0,0.0,5
Adult,10,F1,CatBoost,0.21404899832336072,0.15057843218067368,5
Adult,10,F1,TabPFN,0.1869070963349248,0.17422280687406533,5
Adult,10,ROC_AUC,XGBoost,0.5,0.0,5
Adult,10,ROC_AUC,LightGBM,0.5,0.0,5
Adult,10,ROC_AUC,CatBoost,0.7122340589022084,0.12999586722508116,5
Adult,10,ROC_AUC,TabPFN,0.7003607296048655,0.12008088835804914,5
Adult,20,Accuracy,XGBoost,0.766403930801515,0.026720500053049098,5
Adult,20,Accuracy,LightGBM,0.7606715119254785,0.0,5
Adult,20,Accuracy,CatBoost,0.7807145050670489,0.01814777819807324,5
Adult,20,Accuracy,TabPFN,0.760712457774593,0.036620834712875715,5
Adult,20,Precision,XGBoost,0.5138276724405352,0.10753233133639056,5
Adult,20,Precision,LightGBM,0.0,0.0,5
Adult,20,Precision,CatBoost,0.6040735364534694,0.09825451639987423,5
Adult,20,Precision,TabPFN,0.5292806308059215,0.11134011834951615,5
Adult,20,Recall,XGBoost,0.30153977758768175,0.1936573624365833,5
Adult,20,Recall,LightGBM,0.0,0.0,5
Adult,20,Recall,CatBoost,0.28665526090675786,0.16952435979155095,5
Adult,20,Recall,TabPFN,0.23977758768177931,0.15359965696013686,5
Adult,20,F1,XGBoost,0.35276505098266353,0.17047776887606475,5
Adult,20,F1,LightGBM,0.0,0.0,5
Adult,20,F1,CatBoost,0.36051750519096465,0.15352849854864098,5
Adult,20,F1,TabPFN,0.2971878438686974,0.17857278105605087,5
Adult,20,ROC_AUC,XGBoost,0.7541134237666889,0.07406911193382816,5
Adult,20,ROC_AUC,LightGBM,0.5,0.0,5
Adult,20,ROC_AUC,CatBoost,0.7580067789906086,0.05625612957373798,5
Adult,20,ROC_AUC,TabPFN,0.7201246045886196,0.0824991141522414,5
Adult,35,Accuracy,XGBoost,0.7662606203296141,0.022432641303513672,5
Adult,35,Accuracy,LightGBM,0.7606715119254785,0.0,5
Adult,35,Accuracy,CatBoost,0.7940423789538336,0.022225031043778178,5
Adult,35,Accuracy,TabPFN,0.7915856280069609,0.03008588386958346,5
Adult,35,Precision,XGBoost,0.5243195910191097,0.09771035019533374,5
Adult,35,Precision,LightGBM,0.0,0.0,5
Adult,35,Precision,CatBoost,0.7074996883071304,0.08372541050650444,5
Adult,35,Precision,TabPFN,0.6431792416439195,0.3824832842283208,5
Adult,35,Recall,XGBoost,0.3911890504704876,0.177942346324021,5
Adult,35,Recall,LightGBM,0.0,0.0,5
Adult,35,Recall,CatBoost,0.23669803250641572,0.16341734731760346,5
Adult,35,Recall,TabPFN,0.22035928143712571,0.2318949361334942,5
Adult,35,F1,XGBoost,0.42778791023521895,0.12171551945426096,5
Adult,35,F1,LightGBM,0.0,0.0,5
Adult,35,F1,CatBoost,0.3316783883560091,0.1680774465141339,5
Adult,35,F1,TabPFN,0.2797645475267377,0.27580311503229266,5
Adult,35,ROC_AUC,XGBoost,0.7473009111829977,0.08047442512493072,5
Adult,35,ROC_AUC,LightGBM,0.5,0.0,5
Adult,35,ROC_AUC,CatBoost,0.8163466250496872,0.029397317995967835,5
Adult,35,ROC_AUC,TabPFN,0.8189084026997623,0.03693410898511607,5
Adult,50,Accuracy,XGBoost,0.7849933462995189,0.019970364604736054,5
Adult,50,Accuracy,LightGBM,0.7711945951479169,0.015865757034249372,5
Adult,50,Accuracy,CatBoost,0.8057119459514791,0.008026652827605072,5
Adult,50,Accuracy,TabPFN,0.8076568737844202,0.012658286905675494,5
Adult,50,Precision,XGBoost,0.5847807699558152,0.08297079140845655,5
Adult,50,Precision,LightGBM,0.53886106879078,0.04699793149757785,5
Adult,50,Precision,CatBoost,0.7100153564123575,0.07842333252843824,5
Adult,50,Precision,TabPFN,0.689221163777768,0.06596823329119265,5
