Dataset,Metric,Model_A,Model_B,N,Mean_A,Mean_B,Mean_Difference_A_minus_B,Difference_SD,CI95_Low,CI95_High,Wilcoxon_Statistic,Wilcoxon_p,Rank_Biserial_Effect,Significant_p05,Holm_Adjusted_p,Significant_Holm_p05,Direction,Effect_Strength
Adult,Accuracy,TabPFN,XGBoost,105,0.8349628806379754,0.8252489653861339,0.009713915251841348,0.01918956013081575,0.006043404998064731,0.013384425505617966,754.0,1.4754462654913994e-10,0.7241758241758242,True,4.3298697960381105e-09,True,TabPFN higher,Large
Adult,Accuracy,TabPFN,LightGBM,105,0.8349628806379754,0.8249691687505178,0.009993711887457412,0.021354988798270844,0.005909006202752077,0.014078417572162747,1127.5,5.616267698508879e-07,0.5709118598895869,True,1.3479042476421309e-05,True,TabPFN higher,Large
Adult,Accuracy,TabPFN,CatBoost,105,0.8349628806379754,0.8408776060326884,-0.005914725394713111,0.014130489663713613,-0.008617554789861967,-0.003211895999564256,758.0,9.668003458663267e-11,-0.7279424977538185,True,2.9970810721856128e-09,True,TabPFN lower,Large
Adult,Precision,TabPFN,XGBoost,105,0.7030506076261968,0.6365415646720793,0.06650904295411732,0.15083671824349443,0.03765753634403718,0.09536054956419746,289.0,2.458798036162317e-15,0.8941391941391942,True,1.0081071948265501e-13,True,TabPFN higher,Large
Adult,Precision,TabPFN,LightGBM,105,0.7030506076261968,0.5889323002574844,0.11411830736871227,0.2158462287096135,0.07283201470141026,0.15540460003601428,461.0,3.014450993804402e-13,0.8278566094100075,True,1.0550578478315407e-11,True,TabPFN higher,Large
Adult,Precision,TabPFN,CatBoost,105,0.7030506076261968,0.7330173741352177,-0.02996676650902101,0.08171890811645932,-0.045597666233877926,-0.014335866784164094,449.0,8.668292381732812e-14,-0.8386343216531896,True,3.2939511050584687e-12,True,TabPFN lower,Large
Adult,Recall,TabPFN,XGBoost,105,0.5237973033524788,0.5333944356185588,-0.009597132266080086,0.07987014109336557,-0.024874406463887406,0.005680141931727233,1819.0,0.0031344774798614007,-0.3336996336996337,True,0.047017162197921014,True,TabPFN lower,Medium
Adult,Recall,TabPFN,LightGBM,105,0.5237973033524788,0.496211658316021,0.027585645036457697,0.10926972024403862,0.006684924756841969,0.04848636531607342,2571.0,0.7248171084981925,-0.039955190440627335,False,1.0,False,TabPFN higher,Negligible
Adult,Recall,TabPFN,CatBoost,105,0.5237973033524788,0.5194183062446535,0.004378997107825176,0.05825635735419208,-0.006764070036942511,0.015522064252592862,2640.5,0.6498577873065929,-0.04941599281221923,False,1.0,False,TabPFN higher,Negligible
Adult,F1,TabPFN,XGBoost,105,0.58379990634251,0.5744488657199958,0.009351040622514118,0.08187692282677889,-0.006310083589539051,0.025012164834567287,1948.0,0.011216663374114299,0.28644688644688643,True,0.1345999604893716,False,TabPFN higher,Small
Adult,F1,TabPFN,LightGBM,105,0.58379990634251,0.5360887987505433,0.04771110759196668,0.11943565269141726,0.024865884205821562,0.0705563309781118,1562.0,0.00024108458710089258,0.4167289021657954,True,0.004339522567816067,True,TabPFN higher,Medium
Adult,F1,TabPFN,CatBoost,105,0.58379990634251,0.593627630914924,-0.009827724572414077,0.05233234656055762,-0.019837668174313233,0.00018221902948508013,1612.0,0.00018265892168023177,-0.4206648697214735,True,0.0034705195119244035,True,TabPFN lower,Medium
Adult,ROC_AUC,TabPFN,XGBoost,105,0.8743722130082291,0.8463444541685141,0.028027758839714707,0.0552702543856886,0.01745586276348672,0.038599654915942694,679.0,1.762089827332133e-11,0.7559748427672957,True,5.814896430196039e-10,True,TabPFN higher,Large
Adult,ROC_AUC,TabPFN,LightGBM,105,0.8743722130082291,0.8223209583403781,0.05205125466785088,0.09211970393913958,0.03443092801218697,0.06967158132351478,708.0,3.31657875990418e-11,0.7455525606469002,True,1.0613052031693376e-09,True,TabPFN higher,Large
Adult,ROC_AUC,TabPFN,CatBoost,105,0.8743722130082291,0.878688171129858,-0.004315958121628954,0.017291400758817018,-0.007623395256963678,-0.0010085209862942313,1543.0,7.418583125225969e-05,-0.4454627133872417,True,0.0014837166250451937,True,TabPFN lower,Medium
