Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Adult,Small,Accuracy,TabPFN vs XGBoost,30,0.7911898181321868,0.7749309038796194,0.01625891425256765,0.03207426318061841
Adult,Small,Accuracy,TabPFN vs LightGBM,30,0.7911898181321868,0.7692872010099976,0.021902617122189234,0.0322854848940663
Adult,Small,Accuracy,TabPFN vs CatBoost,30,0.7911898181321868,0.7960794349472824,-0.004889616815095366,0.02583842731643028
Adult,Small,Precision,TabPFN vs XGBoost,30,0.6177901007395791,0.4634114801156726,0.15437862062390645,0.2621995330785251
Adult,Small,Precision,TabPFN vs LightGBM,30,0.6177901007395791,0.2773353197897713,0.3404547809498077,0.29991205190551257
Adult,Small,Precision,TabPFN vs CatBoost,30,0.6177901007395791,0.6630325981325501,-0.045242497392970996,0.1527355359033369
Adult,Small,Recall,TabPFN vs XGBoost,30,0.33547191331622467,0.3450242372398061,-0.009552323923581412,0.14483007734688247
Adult,Small,Recall,TabPFN vs LightGBM,30,0.33547191331622467,0.2215568862275449,0.1139150270886798,0.1723453478179671
Adult,Small,Recall,TabPFN vs CatBoost,30,0.33547191331622467,0.3200741374394068,0.015397775876817805,0.10399969798876184
Adult,Small,F1,TabPFN vs XGBoost,30,0.3935211727427847,0.3785175435874007,0.015003629155383929,0.15075255853689598
Adult,Small,F1,TabPFN vs LightGBM,30,0.3935211727427847,0.23979679295673503,0.15372437978604966,0.18114778069379187
Adult,Small,F1,TabPFN vs CatBoost,30,0.3935211727427847,0.40466970034454514,-0.01114852760176044,0.09646089261818291
Adult,Small,ROC_AUC,TabPFN vs XGBoost,30,0.799253124947598,0.7303915718556158,0.06886155309198203,0.08950818022366469
Adult,Small,ROC_AUC,TabPFN vs LightGBM,30,0.799253124947598,0.6418879516089416,0.15736517333865632,0.11523444715759476
Adult,Small,ROC_AUC,TabPFN vs CatBoost,30,0.799253124947598,0.8015146006121061,-0.002261475664508106,0.0317567037570814
Adult,Medium,Accuracy,TabPFN vs XGBoost,25,0.8401392158869894,0.82426451018528,0.01587470570170949,0.007346633217372094
Adult,Medium,Accuracy,TabPFN vs LightGBM,25,0.8401392158869894,0.8222008393899068,0.017938376497082617,0.010023036975491336
Adult,Medium,Accuracy,TabPFN vs CatBoost,25,0.8401392158869894,0.8443893950250794,-0.004250179138089889,0.004662192596202154
Adult,Medium,Precision,TabPFN vs XGBoost,25,0.7097350185356609,0.6587777917216867,0.05095722681397425,0.022516275227716716
Adult,Medium,Precision,TabPFN vs LightGBM,25,0.7097350185356609,0.6539208879586812,0.05581413057697982,0.028343408820538884
Adult,Medium,Precision,TabPFN vs CatBoost,25,0.7097350185356609,0.7354433421902948,-0.02570832365463368,0.013865741926688333
Adult,Medium,Recall,TabPFN vs XGBoost,25,0.5717707442258341,0.5589221556886228,0.012848588537211283,0.034779272431343135
Adult,Medium,Recall,TabPFN vs LightGBM,25,0.5717707442258341,0.5518905047048759,0.01988023952095808,0.03674275425337119
Adult,Medium,Recall,TabPFN vs CatBoost,25,0.5717707442258341,0.5536869118905048,0.018083832335329356,0.02342160716623816
Adult,Medium,F1,TabPFN vs XGBoost,25,0.6302892425713743,0.6024360339759723,0.027853208595402027,0.02176450604172546
Adult,Medium,F1,TabPFN vs LightGBM,25,0.6302892425713743,0.5964023080628779,0.0338869345084965,0.02807791583488734
Adult,Medium,F1,TabPFN vs CatBoost,25,0.6302892425713743,0.6288753680134535,0.0014138745579208621,0.015129676117503954
Adult,Medium,ROC_AUC,TabPFN vs XGBoost,25,0.8899982916685805,0.8629448709709021,0.027053420697678403,0.009878582893775967
Adult,Medium,ROC_AUC,TabPFN vs LightGBM,25,0.8899982916685805,0.858925261536446,0.031073030132134343,0.021496150797861352
Adult,Medium,ROC_AUC,TabPFN vs CatBoost,25,0.8899982916685805,0.8922388466046165,-0.0022405549360359654,0.0054758537558762125
Adult,Large,Accuracy,TabPFN vs XGBoost,50,0.8586385505169413,0.8559320298904699,0.002706520626471498,0.0071118771022905675
Adult,Large,Accuracy,TabPFN vs LightGBM,50,0.8586385505169413,0.8597625140751357,-0.0011239635581942874,0.007526367760580129
Adult,Large,Accuracy,TabPFN vs CatBoost,50,0.8586385505169413,0.8660006141877368,-0.007362063670795369,0.00371827714984571
Adult,Large,Precision,TabPFN vs XGBoost,50,0.7508647063034352,0.7293015018811198,0.02156320442231541,0.021003790416134125
Adult,Large,Precision,TabPFN vs LightGBM,50,0.7508647063034352,0.743396194687514,0.007468511615921241,0.023486067382122527
Adult,Large,Precision,TabPFN vs CatBoost,50,0.7508647063034352,0.7737952557092798,-0.022930549405844703,0.008391339681336419
Adult,Large,Recall,TabPFN vs XGBoost,50,0.6128058169375535,0.6336526946107786,-0.020846877673224976,0.01211392216083515
Adult,Large,Recall,TabPFN vs LightGBM,50,0.6128058169375535,0.6331650983746793,-0.020359281437125742,0.012744184939756056
Adult,Large,Recall,TabPFN vs CatBoost,50,0.6128058169375535,0.6218905047048761,-0.00908468776732249,0.013344817429275277
Adult,Large,F1,TabPFN vs XGBoost,50,0.6747224783879129,0.6780140748715645,-0.003291596483651722,0.013745067132680916
Adult,Large,F1,TabPFN vs LightGBM,50,0.6747224783879129,0.683707247570661,-0.008984769182748027,0.014527863192960467
